,status,display_name,metadata_level,metadata_group,definition,example,use,conditional,use_condition,accepts_mulitple_values,validation,published_terms
0,Core,Accessibility,Model,Discovery,How accessible is the data?  Is the data readily available online or must it be requested from the host?  Are there tools online to easily download the files? If it fully accessible as a web service?,1 - Data access requires request to use at the location of data.,Required,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/accessibility.csv
11,Core,Boundary Name,Model,Discovery,The geospatial boundary name associated with the digital object. User is required to either provide this boundary type and name field or the spatial extent field. ,Travis County,Required,Yes,Boundary Type,Yes,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/organization.csv 
12,Core,Boundary Type,Model,Discovery,The type of geospatial boundary associated with the digital object. User is required to either provide this boundary type and name field or the spatial extent field. ,County,Required,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/boundary_type.csv 
13,Core,Boundary Unit Identifier,Model,Discovery,"The unique identifier for a geospatial boundary unit of a particular type, such as a name or code.",FIPS Code,Optional,Yes,Boundary Type,,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/organization.csv  
27,Core,Chain of Custody,Model,Reuse,"A statement of any changes in ownership and custody of the digital object since its creation that are significant for its authenticity, integrity, and interpretation. The statement may include a description of any changes successive custodians made to the digital object.",Data collection and creation of dataset performed by USGS. Additional reclass field added by UTCSR.,Recommended,No,None,Yes,Text,None
16,Core,Collection Identifier,Model,Administrative,The REDI unique identifier for the associated collection.,TBD,Required_internal,No,None,No,REDI Identifier: UUID,None
19,Core,Completeness,Model,Discovery,A assessment of the level of completeness of the dataset. ,"Is the dataset missing significant features, unfinished but moderately complete, or mostly complete?",Required,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/completeness.csv
20,Core,Contact Affiliation,Model,Contact Information,Organizational affiliation for the responsible point of contact.,University of Texas,Required,No,None,Yes,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/organization.csv
21,Core,Contact Department,Model,Contact Information,Dept under the Contact Affiliation,Center for Space Research,Recommended,Yes,Contact Affiliation,Yes,Text,
22,Core,Contact Email,Model,Contact Information,Email for the responsible point of contact.,john.doe@gmail.com,Required,Yes,Contact Name,Yes,Text,None
23,Core,Contact Name,Model,Contact Information,Name of a person who is a responsible point of contact.,John Doe,Required,,None,Yes,Text,None
24,Core,Contact Phone Number,Model,Contact Information,Work phone number for the responsible point of contact.,111-2222-3333,Required,Yes,Contact Name,Yes,Text,None
25,Core,Contact Role,Model,Contact Information,The role(s) of the point of contact toward the digital object and its management.,"Submitter, Curator, Steward",Recommended,Yes,Contact Name,Yes,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/contact_role.csv
29,Core,Creation Date,Model,Administrative,Date the digital object was originally created. Must conform to the ISO 8601 standard.,01/01/2022,Recommended,No,None,No,Date: ISO 8601,None
26,Core,Creator,Model,Discovery,"The name of a person or organization who should be cited as contributing to the initial creation of the digital object. Also referred to as an ""author"" or ""contributor"".",John Doe,Required,No,None,Yes,Text,None
28,Core,Data Stage,Model,Discovery,Is the data in a stage that can easily be used for disaster response? Does it require a significant amount of processing or is it ready to use? ,1 - Data requires significant additional processing,Required,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/data_stage.csv
30,Core,Date Last Updated,Model,Administrative,The date the digital object was last updated. Must conform to the ISO 8601 standard.,2021-11-10,Required,No,None,No,Date: ISO 8601,None
32,Core,Date Submitted,Model,Administrative,Date the digital object record was submitted to REDI. Must conform to the ISO 8601 standard.,01/01/2022,Recommended,No,None,No,Date: ISO 8601,None
33,Core,Description ,Model,Discovery,"An account of the digital object. The description may include an abstract, a table of contents, or a free-text account.","""This point dataset represents high water mark observations made by USGS field staff after Hurricane Harvey in Sept 2017  (Sept 9 - Oct 10). 
High water mark types include debris lines, seed lines, mud lines, direct observation, and other types. 
",Required,No,None,No,Text,None
34,Core,Distribution Method,Model,Access,A statement describing the method of distribution and access provided by the Distributor or Publisher.,Published on the USGS website.,Recommended,Yes,Distributor or Publisher,No,Text,None
35,Core,Distribution URL,Model,Access,"The URL where the digital object can be accessed via a service endpoint, API, etc.",https://waterdata.usgs.gov/tx/nwis/rt,Recommended,Yes,Distributor or Publisher,No,URL,None
